chinese,pinyin,wade_giles
徐,XU,TSUI
徐,XU,CHUI
徐,XU,TSUI
孙,SUN,SHUEN
孙,SUN,SUEN
孙,SUN,SHUEN
孙,SUN,SUEN
马,MA,MA
马,MA,MA
马,MA,MAR
马,MA,MA
马,MA,MA
马,MA,MAR
马,MA,MA
马,MA,MA
马,MA,MAR
朱,ZHU,CHU
胡,HU,WO
胡,HU,WOO
胡,HU,WU
胡,HU,WO
胡,HU,WOO
胡,HU,WU
胡,HU,WO
胡,HU,WOO
胡,HU,WU
林,LIN,LAM
林,LIN,LAM
林,LIN,LIM
林,LIN,LUM
林,LIN,LAM
林,LIN,LAM
林,LIN,LIM
林,LIN,LUM
林,LIN,LAM
林,LIN,LAM
林,LIN,LIM
林,LIN,LUM
林,LIN,LAM
林,LIN,LAM
林,LIN,LIM
林,LIN,LUM
郭,GUO,KWOK
郭,GUO,KWOK
郭,GUO,KWOK
郭,GUO,KWOK
何,HE,HO
高,GAO,KO
高,GAO,KO
高,GAO,KO
高,GAO,KO
罗,LUO,LAW
郑,ZHENG,CHANG
郑,ZHENG,CHENG
郑,ZHENG,CHANG
郑,ZHENG,CHENG
梁,LIANG,LEONG
梁,LIANG,LEUNG
梁,LIANG,LEUNG
梁,LIANG,LIANG
梁,LIANG,LEONG
梁,LIANG,LEUNG
梁,LIANG,LEUNG
梁,LIANG,LIANG
梁,LIANG,LEONG
梁,LIANG,LEUNG
梁,LIANG,LEUNG
梁,LIANG,LIANG
梁,LIANG,LEONG
梁,LIANG,LEUNG
梁,LIANG,LEUNG
梁,LIANG,LIANG
谢,XIE,TSE
宋,SONG,SUNG
宋,SONG,SUNG
宋,SONG,SUNG
宋,SONG,SUNG
唐,TANG,TONG
许,XU,HSU
许,XU,HSUI
许,XU,HUI
许,XU,HSU
许,XU,HSUI
许,XU,HUI
许,XU,HSU
许,XU,HSUI
许,XU,HUI
邓,DENG,TANG
冯,FENG,FUNG
冯,FENG,FUNG
冯,FENG,FUNG
冯,FENG,FUNG
韩,HAN,HON
曹,CAO,CHO
曹,CAO,TSO
曹,CAO,CHO
曹,CAO,TSO
曾,CENG,TSANG
彭,PENG,PANG
彭,PENG,PANG
彭,PENG,PANG
彭,PENG,PANG
萧,XIAO,SHIU
萧,XIAO,SIU
萧,XIAO,SHIU
萧,XIAO,SIU
蔡,CAI,CHOI
蔡,CAI,CHOY
蔡,CAI,TSOI
蔡,CAI,CHOI
蔡,CAI,CHOY
蔡,CAI,TSOI
蔡,CAI,CHOI
蔡,CAI,CHOY
蔡,CAI,TSOI
潘,PAN,POON
潘,PAN,POON
潘,PAN,PUN
潘,PAN,POON
潘,PAN,POON
潘,PAN,PUN
潘,PAN,POON
潘,PAN,POON
潘,PAN,PUN
田,TIAN,TIN
田,TIAN,TIN
田,TIAN,TIN
田,TIAN,TIN
董,DONG,TUNG
董,DONG,TUNG
董,DONG,TUNG
董,DONG,TUNG
袁,YUAN,YUEN
于,YU,
余,YU,YU
余,YU,YU
余,YU,YU
余,YU,YU
叶,YE,IP
叶,YE,YIP
叶,YE,YIP
叶,YE,IP
叶,YE,YIP
叶,YE,YIP
叶,YE,IP
叶,YE,YIP
叶,YE,YIP
蒋,JIANG,CHEUNG
杜,DU,TAO
杜,DU,TO
杜,DU,TAO
杜,DU,TO
苏,SU,SO
苏,SU,SO
苏,SU,SO
苏,SU,SO
魏,WEI,NGAI
程,CHENG,CHING
程,CHENG,CHING
程,CHENG,CHING
程,CHENG,CHING
吕,LV,LUI
丁,DING,TING
丁,DING,TING
丁,DING,TING
丁,DING,TING
沈,SHEN,SHUM
沈,SHEN,SUM
沈,SHEN,SHUM
沈,SHEN,SUM
任,REN,YAM
姚,YAO,YIU
姚,YAO,YIU
姚,YAO,YIU
姚,YAO,YIU
卢,LU,LO
卢,LU,LOO
卢,LU,LOW
卢,LU,LO
卢,LU,LOO
卢,LU,LOW
卢,LU,LO
卢,LU,LOO
卢,LU,LOW
傅,FU,FU
钟,ZHONG,
姜,JIANG,KEUNG
崔,CUI,CHUI
崔,CUI,TSUI
崔,CUI,CHUI
崔,CUI,TSUI
谭,TAN,TAM
谭,TAN,TAM
谭,TAN,TAM
谭,TAN,TAM
廖,LIAO,LIAO
廖,LIAO,LIEW
廖,LIAO,LIU
廖,LIAO,LIAO
廖,LIAO,LIEW
廖,LIAO,LIU
廖,LIAO,LIAO
廖,LIAO,LIEW
廖,LIAO,LIU
范,FAN,FAN
汪,WANG,WONG
陆,LU,LOOK
陆,LU,LUK
陆,LU,LUK
陆,LU,LOOK
陆,LU,LUK
陆,LU,LUK
陆,LU,LOOK
陆,LU,LUK
陆,LU,LUK
金,JIN,KAM
金,JIN,KAM
金,JIN,KAM
金,JIN,KAM
石,SHI,SECK
石,SHI,SEK
石,SHI,SHEK
石,SHI,SHEK
石,SHI,SECK
石,SHI,SEK
石,SHI,SHEK
石,SHI,SHEK
石,SHI,SECK
石,SHI,SEK
石,SHI,SHEK
石,SHI,SHEK
石,SHI,SECK
石,SHI,SEK
石,SHI,SHEK
石,SHI,SHEK
戴,DAI,TAI
戴,DAI,TYE
戴,DAI,TAI
戴,DAI,TYE
贾,JIA,KAR
韦,WEI,WAI
韦,WEI,WAI
韦,WEI,WAI
韦,WEI,WAI
夏,XIA,HA
夏,XIA,HA
夏,XIA,HA
夏,XIA,HA
邱,QIU,YAO
邱,QIU,YAU
邱,QIU,YAO
邱,QIU,YAU
方,FANG,FANG
方,FANG,FONG
方,FANG,FANG
方,FANG,FONG
侯,HOU,HAU
侯,HOU,HOU
侯,HOU,HAU
侯,HOU,HOU
邹,ZOU,CHAU
邹,ZOU,CHOW
邹,ZOU,CHAU
邹,ZOU,CHOW
熊,XIONG,HUNG
熊,XIONG,HUNG
熊,XIONG,HUNG
熊,XIONG,HUNG
孟,MENG,MANG
秦,QIN,CHUN
白,BAI,PAK
江,JIANG,KONG
江,JIANG,KONG
江,JIANG,KONG
江,JIANG,KONG
阎,YAN,
薛,XUE,SIT
尹,YIN,WAN
尹,YIN,WAN
尹,YIN,WAN
尹,YIN,WAN
段,DUAN,TUEN
雷,LEI,LUI
雷,LEI,LUI
雷,LEI,LUI
雷,LEI,LUI
黎,LI,LAI
史,SHI,SI
龙,LONG,LOONG
龙,LONG,LUNG
龙,LONG,LUNG
龙,LONG,LOONG
龙,LONG,LUNG
龙,LONG,LUNG
龙,LONG,LOONG
龙,LONG,LUNG
龙,LONG,LUNG
陶,TAO,
贺,HE,HO
顾,GU,
毛,MAO,MO
郝,HAO,
龚,GONG,KUNG
邵,SHAO,SIU
万,WAN,MAN
钱,QIAN,CHIN
钱,QIAN,CHIN
钱,QIAN,CHIN
钱,QIAN,CHIN
严,YAN,YIM
赖,LAI,LAI
覃,TAN,CHUM
洪,HONG,HUNG
洪,HONG,HUNG
洪,HONG,HUNG
洪,HONG,HUNG
武,WU,MO
武,WU,MO
武,WU,MO
武,WU,MO
莫,MO,MOK
孔,KONG,HUNG
孔,KONG,HUNG
孔,KONG,HUNG
孔,KONG,HUNG
汤,TANG,TONG
向,XIANG,HEUNG
常,CHANG,
温,WEN,WAN
康,KANG,HONG
康,KANG,HONG
康,KANG,HONG
康,KANG,HONG
施,SHI,SEE
施,SHI,SHIH
施,SHI,SI
施,SHI,SZE
施,SHI,SZE
施,SHI,SEE
施,SHI,SHIH
施,SHI,SI
施,SHI,SZE
施,SHI,SZE
施,SHI,SEE
施,SHI,SHIH
施,SHI,SI
施,SHI,SZE
施,SHI,SZE
施,SHI,SEE
施,SHI,SHIH
施,SHI,SI
施,SHI,SZE
施,SHI,SZE
施,SHI,SEE
施,SHI,SHIH
施,SHI,SI
施,SHI,SZE
施,SHI,SZE
文,WEN,MAN
文,WEN,MAN
文,WEN,MAN
文,WEN,MAN
牛,NIU,NGAU
樊,FAN,
葛,GE,KOT
邢,XING,YING
安,AN,ON
齐,QI,CHAI
齐,QI,CHAI
齐,QI,CHAI
齐,QI,CHAI
易,YI,YICK
易,YI,YIK
易,YI,YIK
易,YI,YICK
易,YI,YIK
易,YI,YIK
易,YI,YICK
易,YI,YIK
易,YI,YIK
乔,QIAO,KIU
伍,WU,NG
伍,WU,NG
伍,WU,NG
伍,WU,NG
庞,PANG,PONG
颜,YAN,NGAN
颜,YAN,NGAN
颜,YAN,NGAN
颜,YAN,NGAN
倪,NI,NGAI
庄,ZHUANG,CHONG
庄,ZHUANG,CHONG
庄,ZHUANG,CHONG
庄,ZHUANG,CHONG
聂,NIE,LIP
章,ZHANG,CHEONG
鲁,LU,LO
岳,YUE,
翟,DI,CHAK
殷,YIN,YAN
殷,YIN,YAN
殷,YIN,YAN
殷,YIN,YEN
殷,YIN,YAN
殷,YIN,YAN
殷,YIN,YAN
殷,YIN,YEN
殷,YIN,YAN
殷,YIN,YAN
殷,YIN,YAN
殷,YIN,YEN
殷,YIN,YAN
殷,YIN,YAN
殷,YIN,YAN
殷,YIN,YEN
詹,ZHAN,JIM
詹,ZHAN,TSIM
詹,ZHAN,JIM
詹,ZHAN,TSIM
申,SHEN,SUN
欧,OU,AU
耿,GENG,
关,GUAN,KWAN
关,GUAN,KWAN
关,GUAN,KWAN
关,GUAN,KWAN
兰,LAN,LAN
焦,JIAO,
俞,YU,YU
俞,YU,YUE
俞,YU,YU
俞,YU,YUE
左,ZUO,
柳,LIU,LAU
甘,GAN,KAM
甘,GAN,KAM
甘,GAN,KAM
甘,GAN,KAM
祝,ZHU,
包,BAO,PAU
宁,NING,NING
尚,SHANG,SHEUNG
符,FU,FOO
符,FU,FU
符,FU,FOO
符,FU,FU
舒,SHU,SHU
舒,SHU,SHUE
舒,SHU,SHU
舒,SHU,SHUE
阮,RUAN,YUEN
柯,KE,OR
纪,JI,KEI
梅,MEI,MUI
童,TONG,TUNG
凌,LING,LING
凌,LING,LING
凌,LING,LING
凌,LING,LING
毕,BI,PAT
单,DAN,SIN
季,JI,
裴,PEI,PUI
霍,HUO,FOG
霍,HUO,FOK
霍,HUO,FORK
霍,HUO,FOG
霍,HUO,FOK
霍,HUO,FORK
霍,HUO,FOG
霍,HUO,FOK
霍,HUO,FORK
涂,TU,
成,CHENG,SHING
成,CHENG,SHING
成,CHENG,SING
成,CHENG,SHING
成,CHENG,SHING
成,CHENG,SING
成,CHENG,SHING
成,CHENG,SHING
成,CHENG,SING
苗,MIAO,MIU
苗,MIAO,MIU
苗,MIAO,MIU
苗,MIAO,MIU
谷,GU,KUK
盛,SHENG,SHING
曲,QU,
翁,WENG,YUNG
冉,RAN,
骆,LUO,LOK
蓝,LAN,LAM
蓝,LAN,LARM
蓝,LAN,LAM
蓝,LAN,LARM
路,LU,
游,YOU,YAU
辛,XIN,SUN
靳,JIN,
欧阳,OUYANG,
管,GUAN,
柴,CHAI,
蒙,MENG,
鲍,BAO,
华,HUA,WAH
喻,YU,
祁,QI,
蒲,PU,
房,FANG,
滕,TENG,
屈,QU,WAT
屈,QU,WUT
屈,QU,WAT
屈,QU,WUT
饶,RAO,YIU
解,JIE,
牟,MOU,
艾,AI,NGAI
尤,YOU,YAU
阳,YANG,YEUNG
阳,YANG,YEUNG
阳,YANG,YEUNG
阳,YANG,YEUNG
时,SHI,SI
穆,MU,
农,NONG,
司,SI,SZE
卓,ZHUO,CHEUK
卓,ZHUO,CHEUK
卓,ZHUO,CHEUK
卓,ZHUO,CHEUK
古,GU,KHOO
古,GU,KOO
古,GU,KU
古,GU,KUO
古,GU,KHOO
古,GU,KOO
古,GU,KU
古,GU,KUO
古,GU,KHOO
古,GU,KOO
古,GU,KU
古,GU,KUO
古,GU,KHOO
古,GU,KOO
古,GU,KU
古,GU,KUO
吉,JI,
缪,MOU,
简,JIAN,KAN
车,CHE,
项,XIANG,
连,LIAN,LIN
连,LIAN,LIN
连,LIAN,LIN
连,LIAN,LIN
芦,LU,
麦,MAI,MAK
褚,CHU,
娄,LOU,
窦,DOU,TAU
戚,QI,CHI
戚,QI,CHICK
戚,QI,CHIK
戚,QI,CHI
戚,QI,CHICK
戚,QI,CHIK
戚,QI,CHI
戚,QI,CHICK
戚,QI,CHIK
岑,CEN,SHUM
景,JING,KING
党,DANG,
宫,GONG,
费,FEI,
卜,BO,
冷,LENG,
晏,YAN,NGAN
席,XI,
卫,WEI,WAI
米,MI,
柏,BAI,PAK
宗,ZONG,CHUNG
瞿,QU,
桂,GUI,KAI
全,QUAN,CHUEN
佟,TONG,
应,YING,YING
臧,ZANG,
闵,MIN,
苟,GOU,
邬,WU,
边,BIAN,
卞,BIAN,PIN
姬,JI,
师,SHI,SI
和,HE,WO
仇,CHOU,
栾,LUAN,
隋,SUI,CHUI
商,SHANG,
刁,DIAO,
沙,SHA,
荣,RONG,WING
荣,RONG,WING
荣,RONG,WING
荣,RONG,WING
巫,WU,MO
寇,KOU,
桑,SANG,
郎,LANG,
甄,ZHEN,YAN
丛,CONG,
仲,ZHONG,CHUNG
虞,YU,YU
敖,AO,NGO
敖,AO,O
敖,AO,NGO
敖,AO,O
巩,GONG,
明,MING,MING
明,MING,MING
明,MING,MING
明,MING,MING
佘,SHE,
池,CHI,CHI
查,CHA,
麻,MA,
苑,YUAN,
迟,CHI,
邝,KUANG,KWONG
官,GUAN,
封,FENG,
谈,TAN,TAM
匡,KUANG,HONG
鞠,JU,
惠,HUI,WAI
荆,JING,
乐,LE,LOK
冀,JI,
郁,YU,
胥,XU,
南,,NAM
班,BAN,
储,CHU,
原,YUAN,
栗,LI,
燕,YAN,YIN
楚,CHU,CHOR
鄢,YAN,
劳,LAO,LO
谌,CHEN,
奚,XI,
皮,PI,
粟,SU,
冼,XIAN,SIN
蔺,LIN,
楼,LOU,
盘,PAN,
满,MAN,MOON
闻,WEN,
位,WEI,WAI
厉,LI,
伊,YI,YEE
仝,TONG,
区,QU,AU
郜,GAO,
海,HAI,HOI
阚,HAN,
花,HUA,FA
权,QUAN,KUEN
强,QIANG,KEUNG
帅,SHUAI,
屠,TU,
豆,DOU,
